 ,occurred_at,action,user_type
0,2014-05-06 09:30,sent_weekly_digest,1
0,2014-05-13 09:30,sent_weekly_digest,1
0,2014-05-20 09:30,sent_weekly_digest,1
0,2014-05-27 09:30,sent_weekly_digest,1
0,2014-06-03 09:30,sent_weekly_digest,1
0,2014-06-03 09:30,email_open,1
0,2014-06-10 09:30,sent_weekly_digest,1
0,2014-06-10 09:30,email_open,1
0,2014-06-17 09:30,sent_weekly_digest,1
0,2014-06-17 09:30,email_open,1
0,2014-06-24 09:30,sent_weekly_digest,1
0,2014-07-01 09:30,sent_weekly_digest,1
0,2014-07-08 09:30,sent_weekly_digest,1
0,2014-07-15 09:30,sent_weekly_digest,1
0,2014-07-22 09:30,sent_weekly_digest,1
0,2014-07-29 09:30,sent_weekly_digest,1
0,2014-07-29 09:30,email_open,1
0,2014-08-05 09:30,sent_weekly_digest,1
0,2014-08-12 09:30,sent_weekly_digest,1
0,2014-08-19 09:30,sent_weekly_digest,1
0,2014-08-19 09:30,email_open,1
0,2014-08-26 09:30,sent_weekly_digest,1
4,2014-05-06 09:30,sent_weekly_digest,3
4,2014-05-13 09:30,sent_weekly_digest,3
4,2014-05-13 09:30,email_open,3
4,2014-05-13 09:31,email_clickthrough,3
4,2014-05-20 09:30,sent_weekly_digest,3
4,2014-05-20 09:30,email_open,3
4,2014-05-20 09:31,email_clickthrough,3
4,2014-05-27 09:30,sent_weekly_digest,3
4,2014-06-03 09:30,sent_weekly_digest,3
4,2014-06-10 09:30,sent_weekly_digest,3
4,2014-06-17 09:30,sent_weekly_digest,3
4,2014-06-24 09:30,sent_weekly_digest,3
4,2014-06-24 09:30,email_open,3
4,2014-06-24 09:31,email_clickthrough,3
4,2014-07-01 09:30,sent_weekly_digest,3
4,2014-07-01 09:30,email_open,3
4,2014-07-01 09:30,email_clickthrough,3
4,2014-07-08 09:30,sent_weekly_digest,3
4,2014-07-15 09:30,sent_weekly_digest,3
4,2014-07-22 09:30,sent_weekly_digest,3
4,2014-07-29 09:30,sent_weekly_digest,3
4,2014-08-05 09:30,sent_weekly_digest,3
4,2014-08-12 09:30,sent_weekly_digest,3
4,2014-08-12 09:30,email_open,3
4,2014-08-19 09:30,sent_weekly_digest,3
4,2014-08-26 09:30,sent_weekly_digest,3
8,2014-05-06 09:30,sent_weekly_digest,3
8,2014-05-13 09:30,sent_weekly_digest,3
8,2014-05-20 09:30,sent_weekly_digest,3
8,2014-05-27 09:30,sent_weekly_digest,3
8,2014-06-03 09:30,sent_weekly_digest,3
8,2014-06-03 09:30,email_open,3
8,2014-06-10 09:30,sent_weekly_digest,3
8,2014-06-17 09:30,sent_weekly_digest,3
8,2014-06-24 09:30,sent_weekly_digest,3
8,2014-07-01 09:30,sent_weekly_digest,3
8,2014-07-08 09:30,sent_weekly_digest,3
8,2014-07-08 09:30,email_open,3
8,2014-07-15 09:30,sent_weekly_digest,3
8,2014-07-22 09:30,sent_weekly_digest,3
8,2014-07-29 09:30,sent_weekly_digest,3
8,2014-07-29 09:30,email_open,3
8,2014-07-29 09:30,email_clickthrough,3
